Month,PartyPair,Party,InterjectionScore,speech_tokens,interjection_rate
2024-06,SPD–>GRUENE,GRUENE,27.0,94095,2.869440459110473
2024-07,FDP–>GRUENE,GRUENE,5.0,28799,1.7361713948400985
2024-07,FDP–>SPD,SPD,5.0,52614,0.9503174060136086
2024-07,GRUENE–>FDP,FDP,1.0,25399,0.3937162880428363
2024-07,GRUENE–>SPD,SPD,15.0,52614,2.8509522180408253
2024-07,SPD–>FDP,FDP,8.0,25399,3.1497303043426905
2024-07,SPD–>GRUENE,GRUENE,5.0,28799,1.7361713948400985
2024-09,FDP–>GRUENE,GRUENE,4.0,74258,0.5386625010099921
2024-09,FDP–>SPD,SPD,1.0,115960,0.08623663332183512
2024-09,GRUENE–>FDP,FDP,-6.0,64032,-0.9370314842578711
2024-09,GRUENE–>SPD,SPD,25.0,115960,2.155915833045878
2024-09,SPD–>FDP,FDP,7.0,64032,1.0932033983008496
2024-09,SPD–>GRUENE,GRUENE,3.0,74258,0.4039968757574941
2024-10,FDP–>GRUENE,GRUENE,1.0,58724,0.1702881275117499
2024-10,FDP–>SPD,SPD,6.0,95360,0.6291946308724833
2024-10,GRUENE–>FDP,FDP,-3.0,43182,-0.6947339169098236
2024-10,GRUENE–>SPD,SPD,18.0,95360,1.8875838926174495
2024-10,SPD–>FDP,FDP,9.0,43182,2.084201750729471
2024-10,SPD–>GRUENE,GRUENE,12.0,58724,2.0434575301409987
2024-11,FDP–>GRUENE,GRUENE,-6.0,28513,-2.104303300249009
2024-11,FDP–>SPD,SPD,-25.0,45633,-5.478491442596367
2024-11,GRUENE–>FDP,FDP,-7.0,23114,-3.0284675953967293
2024-11,GRUENE–>SPD,SPD,8.0,45633,1.7531172616308373
2024-11,SPD–>FDP,FDP,-28.0,23114,-12.113870381586917
2024-11,SPD–>GRUENE,GRUENE,7.0,28513,2.4550205169571773
2024-12,FDP–>GRUENE,GRUENE,-36.0,61185,-5.883795047805835
2024-12,FDP–>SPD,SPD,-140.0,108466,-12.90727048107241
2024-12,GRUENE–>FDP,FDP,-44.0,47557,-9.252055428222974
2024-12,GRUENE–>SPD,SPD,26.0,108466,2.3970645179134475
2024-12,SPD–>FDP,FDP,-70.0,47557,-14.719179090354732
2024-12,SPD–>GRUENE,GRUENE,14.0,61185,2.288142518591158
2025-01,FDP–>GRUENE,GRUENE,-21.0,33990,-6.17828773168579
2025-01,FDP–>SPD,SPD,-51.0,45756,-11.146079202727512
2025-01,GRUENE–>FDP,FDP,-46.0,23813,-19.317179691765002
2025-01,GRUENE–>SPD,SPD,9.0,45756,1.966955153422502
2025-01,SPD–>FDP,FDP,-21.0,23813,-8.818712467979674
2025-01,SPD–>GRUENE,GRUENE,7.0,33990,2.0594292438952633
2025-02,FDP–>GRUENE,GRUENE,-8.0,4466,-17.913121361397224
2025-02,FDP–>SPD,SPD,-10.0,6942,-14.405070584845864
2025-02,GRUENE–>FDP,FDP,-16.0,2863,-55.88543485853999
2025-02,GRUENE–>SPD,SPD,2.0,6942,2.881014116969173
2025-02,SPD–>FDP,FDP,-5.0,2863,-17.46419839329375
2025-02,SPD–>GRUENE,GRUENE,0.0,4466,0.0
2025-03,FDP–>GRUENE,GRUENE,-4.0,9263,-4.3182554248083775
2025-03,FDP–>SPD,SPD,-9.0,12537,-7.178750897343862
2025-03,GRUENE–>FDP,FDP,-2.0,7810,-2.560819462227913
2025-03,GRUENE–>SPD,SPD,-2.0,12537,-1.5952779771875247
2025-03,SPD–>FDP,FDP,-3.0,7810,-3.8412291933418694
2025-03,SPD–>GRUENE,GRUENE,-1.0,9263,-1.0795638562020944
